http://dbpedia.org/ontology/Person;;;List all the musicals with music by <A>.;"PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Musical ; dbo:musicBy <A> }";"PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> select distinct ?a where { ?uri rdf:type dbo:Musical ; dbo:musicBy ?a }";1
http://dbpedia.org/ontology/Person;;;Who was the wife of U.S. president <A>?;PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { <A> dbo:spouse ?uri };PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> select distinct ?a where { ?a dbo:spouse ?uri };3
http://dbpedia.org/ontology/TelevisionShow;;;Who is the host of the <A>?;PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { <A> dbo:presenter ?uri };PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> select distinct ?a where { ?a dbo:presenter ?uri };4
http://dbpedia.org/ontology/Film;;;How much did <A> cost?;PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?n WHERE { <A> dbo:budget ?n };PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> select distinct ?a where { ?a dbo:budget ?n };5
http://dbpedia.org/ontology/Event;;;When did <A> commence?;PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?d WHERE { <A> dbo:date ?d };PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> select distinct ?a where { ?a dbo:date ?d };7
http://dbpedia.org/ontology/Road;;;In which city does the <A> end?;PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { <A> dbo:routeEnd ?uri };PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> select distinct ?a where { ?a dbo:routeEnd ?uri };8
;;;Who developed <A>?;PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE { ?uri dbo:product <h<A>_(software)> };PREFIX dbo: <http://dbpedia.org/ontology/> select distinct ?a where { ?uri dbo:product <h?a_(software)> };9
http://dbpedia.org/ontology/Person;;;What did <A> die from?;PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { <A> dbo:deathCause ?uri };PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> select distinct ?a where { ?a dbo:deathCause ?uri };11
http://dbpedia.org/ontology/Place;;;Which cities does the <A> flow through?;PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { <A> <B> ?uri };PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> select distinct ?a,?b where { ?a ?b ?uri };12
http://dbpedia.org/ontology/Person;;http://dbpedia.org/ontology/Company;Which books by <A> were <B>ed by <C>?;"PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Book ; <B>er <C> ; dbo:author <A> }";"PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> select distinct ?a,?b,?c where { ?uri rdf:type dbo:Book ; ?ber ?c ; dbo:author ?a }";13
